survived,pclass,sex,age,sibsp,parch,ticket,fare,cabin,embarked
0.0,2.0,male,28.0,0.0,0.0,C.A./SOTON 34068,10.5,,S
0.0,3.0,male,21.0,0.0,0.0,STON/O 2. 3101294,7.925,,S
1.0,3.0,female,21.0,0.0,0.0,343120,7.65,,S
1.0,1.0,female,47.0,1.0,0.0,W.E.P. 5734,61.175,E31,S
0.0,3.0,male,33.0,0.0,0.0,345780,9.5,,S
1.0,3.0,male,32.0,0.0,0.0,1601,56.4958,,S
1.0,3.0,male,0.8333,0.0,1.0,392091,9.35,,S
1.0,1.0,male,,0.0,0.0,16988,30.0,D45,S
1.0,2.0,female,35.0,0.0,0.0,F.C.C. 13528,21.0,,S
0.0,1.0,male,64.0,1.0,0.0,110813,75.25,D37,C
0.0,2.0,male,36.5,0.0,2.0,230080,26.0,F2,S
0.0,1.0,male,,0.0,0.0,113056,26.0,A19,S
0.0,3.0,male,25.0,0.0,0.0,SOTON/O.Q. 3101312,7.05,,S
0.0,2.0,male,32.0,2.0,0.0,S.O.C. 14879,73.5,,S
0.0,3.0,male,1.0,4.0,1.0,3101295,39.6875,,S
0.0,2.0,male,23.0,0.0,0.0,28425,13.0,,S
1.0,1.0,female,43.0,1.0,0.0,11778,55.4417,C116,C
0.0,3.0,male,29.0,0.0,0.0,347067,7.775,,S
0.0,3.0,female,18.0,0.0,0.0,347087,7.775,,S
1.0,3.0,male,21.0,0.0,0.0,350053,7.7958,,S
1.0,1.0,male,45.0,1.0,1.0,16966,134.5,E34,C
0.0,3.0,male,,0.0,0.0,12460,7.75,,Q
0.0,3.0,male,,1.0,2.0,W./C. 6607,23.45,,S
1.0,3.0,male,24.0,0.0,0.0,C 17369,7.1417,,S
1.0,3.0,female,26.0,1.0,1.0,315153,22.025,,S
1.0,2.0,female,24.0,1.0,2.0,220845,65.0,,S
0.0,3.0,female,47.0,1.0,0.0,A/5. 3337,14.5,,S
1.0,1.0,female,51.0,0.0,1.0,PC 17592,39.4,D28,S
1.0,1.0,female,19.0,1.0,0.0,11967,91.0792,B49,C
0.0,3.0,male,,2.0,0.0,2662,21.6792,,C
0.0,3.0,male,,0.0,0.0,A4. 54510,8.05,,S
0.0,3.0,male,55.5,0.0,0.0,A.5. 11206,8.05,,S
0.0,3.0,male,27.0,1.0,0.0,2659,14.4542,,C
0.0,3.0,male,22.0,0.0,0.0,PP 4348,9.35,,S
0.0,3.0,male,,0.0,0.0,371110,24.15,,Q
0.0,1.0,male,46.0,1.0,0.0,W.E.P. 5734,61.175,E31,S
0.0,3.0,male,,0.0,0.0,349215,7.8958,,S
0.0,3.0,male,23.0,0.0,0.0,347468,7.8542,,S
1.0,2.0,female,31.0,0.0,0.0,CA 31352,21.0,,S
0.0,2.0,male,34.0,1.0,0.0,244367,26.0,,S
1.0,1.0,female,54.0,1.0,1.0,33638,81.8583,A34,S
0.0,3.0,male,45.0,0.0,0.0,347061,6.975,,S
0.0,2.0,male,36.0,1.0,2.0,C.A. 34651,27.75,,S
0.0,3.0,female,28.0,1.0,1.0,347080,14.4,,S
0.0,3.0,male,,0.0,0.0,383121,7.75,F38,Q
0.0,3.0,male,,1.0,0.0,2689,14.4583,,C
0.0,3.0,male,65.0,0.0,0.0,336439,7.75,,Q
1.0,1.0,female,44.0,0.0,0.0,PC 17610,27.7208,B4,C
1.0,2.0,female,34.0,0.0,0.0,C.A. 34260,10.5,F33,S
1.0,1.0,female,,0.0,0.0,17421,110.8833,,C
0.0,3.0,male,,0.0,0.0,364851,7.75,,Q
0.0,1.0,male,37.0,1.0,0.0,113803,53.1,C123,S
0.0,3.0,male,18.0,0.0,0.0,350036,7.7958,,S
0.0,3.0,male,32.0,0.0,0.0,349242,7.8958,,S
1.0,1.0,male,27.0,0.0,0.0,PC 17572,76.7292,D49,C
0.0,2.0,female,38.0,0.0,0.0,237671,13.0,,S
1.0,3.0,female,22.0,0.0,0.0,370373,7.75,,Q
0.0,3.0,male,,0.0,0.0,349234,7.8958,,S
0.0,1.0,male,61.0,0.0,0.0,111240,33.5,B19,S
0.0,3.0,male,20.0,0.0,0.0,350416,7.8542,,S
0.0,3.0,female,10.0,5.0,2.0,CA 2144,46.9,,S
0.0,3.0,female,2.0,3.0,2.0,347088,27.9,,S
1.0,2.0,male,0.6667,1.0,1.0,250649,14.5,,S
0.0,3.0,male,20.0,0.0,0.0,350050,7.8542,,S
0.0,3.0,female,39.0,1.0,5.0,347082,31.275,,S
0.0,3.0,male,29.0,0.0,0.0,347467,7.8542,,S
1.0,1.0,female,30.0,0.0,0.0,110152,86.5,B77,S
1.0,1.0,female,55.0,0.0,0.0,112377,27.7208,,C
0.0,1.0,male,42.0,0.0,0.0,113038,42.5,B11,S
1.0,3.0,female,22.0,1.0,0.0,347072,13.9,,S
1.0,2.0,female,,0.0,0.0,226593,12.35,E101,Q
1.0,1.0,male,34.0,0.0,0.0,113794,26.55,,S
0.0,3.0,male,,0.0,0.0,349217,7.8958,,S
1.0,1.0,female,55.0,0.0,0.0,PC 17760,135.6333,C32,C
0.0,3.0,male,,0.0,0.0,349201,7.8958,,S
1.0,3.0,male,19.0,0.0,0.0,A/5. 10482,8.05,,S
0.0,3.0,female,,0.0,0.0,SOTON/O.Q. 392087,8.05,,S
1.0,3.0,female,0.75,2.0,1.0,2666,19.2583,,C
1.0,2.0,female,28.0,1.0,0.0,2003,26.0,,S
0.0,3.0,female,38.0,4.0,2.0,347091,7.775,,S
0.0,3.0,male,20.0,0.0,0.0,345769,9.5,,S
1.0,1.0,female,47.0,1.0,1.0,11751,52.5542,D35,S
0.0,3.0,female,,8.0,2.0,CA. 2343,69.55,,S
0.0,3.0,male,17.0,1.0,1.0,2690,7.2292,,C
1.0,1.0,female,18.0,2.0,2.0,PC 17608,262.375,B57 B59 B63 B66,C
0.0,3.0,male,,0.0,0.0,36209,7.725,,Q
0.0,1.0,male,28.0,0.0,0.0,113059,47.1,,S
1.0,1.0,female,38.0,1.0,0.0,PC 17599,71.2833,C85,C
0.0,3.0,female,26.0,1.0,0.0,A/5. 3336,16.1,,S
0.0,3.0,male,24.0,0.0,0.0,371109,7.25,,Q
0.0,1.0,female,63.0,1.0,0.0,PC 17483,221.7792,C55 C57,S
1.0,1.0,female,,1.0,0.0,PC 17569,146.5208,B78,C
0.0,1.0,male,57.0,1.0,0.0,PC 17569,146.5208,B78,C
0.0,3.0,female,21.0,0.0,0.0,315087,8.6625,,S
0.0,3.0,male,,0.0,0.0,2674,7.225,,C
0.0,3.0,male,26.5,0.0,0.0,2656,7.225,,C
1.0,2.0,female,22.0,1.0,1.0,248738,29.0,,S
0.0,2.0,male,52.0,0.0,0.0,250647,13.0,,S
1.0,3.0,male,0.4167,0.0,1.0,2625,8.5167,,C
0.0,3.0,male,28.0,0.0,0.0,363611,8.05,,S
0.0,2.0,male,70.0,0.0,0.0,C.A. 24580,10.5,,S
0.0,1.0,male,28.0,1.0,0.0,PC 17604,82.1708,,C
0.0,3.0,male,18.0,1.0,1.0,350404,7.8542,,S
1.0,1.0,female,35.0,1.0,0.0,36973,83.475,C83,S
0.0,3.0,female,23.0,0.0,0.0,315085,8.6625,,S
1.0,1.0,male,48.0,1.0,0.0,PC 17572,76.7292,D33,C
0.0,3.0,male,,0.0,0.0,3410,8.7125,,S
1.0,1.0,female,60.0,0.0,0.0,11813,76.2917,D15,C
1.0,2.0,female,19.0,1.0,0.0,2908,26.0,,S
0.0,3.0,male,38.0,0.0,0.0,315089,8.6625,,S
0.0,1.0,male,54.0,0.0,1.0,35281,77.2875,D26,S
0.0,3.0,male,2.0,4.0,1.0,3101295,39.6875,,S
1.0,3.0,male,25.0,0.0,0.0,345768,9.5,,S
0.0,3.0,male,,0.0,0.0,A/5 2466,8.05,,S
1.0,1.0,male,36.0,0.0,1.0,PC 17755,512.3292,B51 B53 B55,C
0.0,3.0,male,14.5,8.0,2.0,CA. 2343,69.55,,S
1.0,1.0,female,26.0,1.0,0.0,13508,136.7792,C89,C
0.0,3.0,male,,0.0,0.0,32302,8.05,,S
1.0,1.0,female,35.0,0.0,0.0,113503,211.5,C130,C
1.0,2.0,female,8.0,1.0,1.0,26360,26.0,,S
1.0,1.0,female,22.0,1.0,0.0,113776,66.6,C2,S
0.0,3.0,male,29.0,0.0,0.0,STON/O 2. 3101268,7.925,,S
0.0,1.0,male,65.0,0.0,0.0,13509,26.55,E38,S
1.0,2.0,female,40.0,1.0,1.0,29750,39.0,,S
0.0,3.0,male,51.0,0.0,0.0,347064,7.75,,S
0.0,3.0,male,28.0,0.0,0.0,392095,7.25,,S
0.0,3.0,male,8.0,4.0,1.0,382652,29.125,,Q
1.0,1.0,female,51.0,1.0,0.0,13502,77.9583,D11,S
1.0,2.0,female,21.0,0.0,1.0,S.O./P.P. 2,21.0,,S
1.0,1.0,male,17.0,0.0,2.0,17421,110.8833,C70,C
0.0,3.0,female,29.0,0.0,0.0,3101297,7.925,,S
0.0,3.0,male,14.0,4.0,1.0,3101295,39.6875,,S
1.0,1.0,female,24.0,3.0,2.0,19950,263.0,C23 C25 C27,S
1.0,3.0,female,4.0,0.0,2.0,315153,22.025,,S
1.0,2.0,female,24.0,0.0,2.0,250649,14.5,,S
0.0,3.0,male,17.0,0.0,0.0,STON/O 2. 3101274,7.125,,S
1.0,1.0,female,50.0,0.0,1.0,PC 17558,247.5208,B58 B60,C
0.0,2.0,male,36.0,0.0,0.0,C.A. 17248,10.5,,S
1.0,1.0,female,35.0,1.0,0.0,13236,57.75,C28,C
1.0,1.0,female,58.0,0.0,0.0,113783,26.55,C103,S
1.0,1.0,female,16.0,0.0,1.0,PC 17592,39.4,D28,S
1.0,3.0,female,,0.0,0.0,A. 2. 39186,8.05,,S
0.0,3.0,male,13.0,0.0,2.0,C.A. 2673,20.25,,S
1.0,1.0,female,35.0,1.0,0.0,113789,52.0,,S
1.0,2.0,female,55.0,0.0,0.0,248706,16.0,,S
0.0,1.0,male,61.0,1.0,3.0,PC 17608,262.375,B57 B59 B63 B66,C
0.0,1.0,male,41.0,1.0,0.0,17464,51.8625,D21,S
0.0,3.0,male,,0.0,0.0,359306,8.05,,S
1.0,1.0,male,54.0,1.0,0.0,11778,55.4417,C116,C
0.0,1.0,male,18.0,1.0,0.0,PC 17758,108.9,C65,C
0.0,2.0,male,48.0,0.0,0.0,234360,13.0,,S
1.0,3.0,male,20.0,1.0,0.0,STON/O 2. 3101285,7.925,,S
1.0,3.0,female,18.0,0.0,0.0,3101265,7.4958,,S
0.0,3.0,male,17.0,1.0,0.0,350048,7.0542,,S
0.0,2.0,male,23.0,1.0,0.0,28666,10.5,,S
0.0,3.0,male,35.0,0.0,0.0,349213,7.8958,,C
1.0,3.0,male,21.0,0.0,0.0,350034,7.7958,,S
0.0,3.0,male,27.0,0.0,0.0,349219,7.8958,,S
0.0,1.0,male,64.0,0.0,0.0,693,26.0,,S
0.0,3.0,male,39.0,0.0,0.0,A/4 48871,24.15,,S
0.0,3.0,male,17.0,0.0,0.0,349232,7.8958,,S
0.0,1.0,male,55.0,0.0,0.0,680,50.0,C39,S
0.0,3.0,male,21.0,0.0,0.0,54636,16.1,,S
0.0,3.0,male,22.0,0.0,0.0,350045,7.7958,,S
0.0,3.0,male,19.0,0.0,0.0,365222,6.75,,Q
0.0,3.0,female,16.0,5.0,2.0,CA 2144,46.9,,S
1.0,1.0,male,31.0,0.0,0.0,2543,28.5375,C53,C
0.0,3.0,male,5.0,4.0,2.0,347077,31.3875,,S
0.0,1.0,male,,0.0,0.0,112052,0.0,,S
1.0,1.0,female,38.0,0.0,0.0,113572,80.0,B28,
0.0,3.0,male,49.0,0.0,0.0,LINE,0.0,,S
1.0,2.0,female,42.0,1.0,0.0,SC/AH 3085,26.0,,S
0.0,2.0,male,25.0,0.0,0.0,244361,13.0,,S
0.0,1.0,male,56.0,0.0,0.0,17764,30.6958,A7,C
1.0,3.0,male,25.0,0.0,0.0,LINE,0.0,,S
0.0,2.0,male,,0.0,0.0,239855,0.0,,S
0.0,3.0,female,,0.0,0.0,364856,7.75,,Q
1.0,1.0,female,64.0,1.0,1.0,112901,26.55,B26,S
1.0,3.0,female,,1.0,1.0,2668,22.3583,F E69,C
1.0,1.0,female,45.0,0.0,0.0,PC 17608,262.375,,C
0.0,3.0,female,,3.0,1.0,4133,25.4667,,S
0.0,2.0,male,40.0,1.0,0.0,2926,26.0,,S
0.0,3.0,male,21.0,0.0,0.0,349211,7.8958,,S
0.0,3.0,female,18.5,0.0,0.0,329944,7.2833,,Q
0.0,3.0,female,32.0,1.0,1.0,364849,15.5,,Q
0.0,2.0,male,,0.0,0.0,SC/PARIS 2159,12.875,,S
0.0,3.0,male,28.0,0.0,0.0,345770,9.5,,S
0.0,3.0,male,,1.0,0.0,65303,19.9667,,S
0.0,3.0,male,31.0,0.0,0.0,347063,7.775,,S
1.0,1.0,female,45.0,0.0,1.0,PC 17759,63.3583,D10 D12,C
0.0,2.0,male,66.0,0.0,0.0,C.A. 24579,10.5,,S
1.0,3.0,male,,1.0,1.0,2661,15.2458,,C
1.0,1.0,male,38.0,1.0,0.0,19943,90.0,C93,S
0.0,3.0,female,25.0,0.0,0.0,347071,7.775,,S
1.0,2.0,female,28.0,0.0,0.0,237668,13.0,,S
1.0,3.0,male,24.0,0.0,0.0,S.O./P.P. 752,7.55,,S
0.0,3.0,female,,1.0,9.0,CA. 2343,69.55,,S
1.0,2.0,female,36.0,0.0,0.0,28551,13.0,D,S
0.0,1.0,male,45.0,1.0,0.0,36973,83.475,C83,S
0.0,3.0,male,33.0,0.0,0.0,349241,7.8958,,C
0.0,1.0,male,,0.0,0.0,113767,50.0,A32,S
0.0,3.0,male,36.0,0.0,0.0,349210,7.4958,,S
0.0,3.0,male,38.0,0.0,0.0,349249,7.8958,,S
0.0,1.0,male,38.0,0.0,1.0,PC 17582,153.4625,C91,S
1.0,3.0,female,38.0,1.0,5.0,347077,31.3875,,S
1.0,3.0,male,25.0,0.0,0.0,350033,7.7958,,S
0.0,2.0,male,42.0,1.0,0.0,243847,27.0,,S
1.0,3.0,female,5.0,2.0,1.0,2666,19.2583,,C
0.0,2.0,male,21.0,0.0,0.0,29107,11.5,,S
0.0,3.0,male,25.0,0.0,0.0,2672,7.225,,C
0.0,3.0,male,,0.0,0.0,A/5 2817,8.05,,S
0.0,3.0,female,,0.0,0.0,364859,7.75,,Q
0.0,3.0,male,,0.0,0.0,A./5. 3235,8.05,,S
1.0,3.0,female,,2.0,0.0,367226,23.25,,Q
1.0,1.0,female,62.0,0.0,0.0,113572,80.0,B28,
0.0,1.0,male,,0.0,0.0,113028,26.55,C124,S
1.0,2.0,male,1.0,0.0,2.0,S.C./PARIS 2079,37.0042,,C
0.0,2.0,male,30.0,0.0,0.0,233478,13.0,,S
0.0,3.0,male,36.0,1.0,0.0,349910,15.55,,S
1.0,2.0,female,22.0,0.0,0.0,W./C. 14266,10.5,F33,S
1.0,1.0,female,35.0,0.0,0.0,PC 17760,135.6333,C99,S
1.0,3.0,female,29.0,0.0,2.0,2650,15.2458,,C
1.0,3.0,female,,0.0,0.0,330959,7.8792,,Q
0.0,3.0,male,,1.0,9.0,CA. 2343,69.55,,S
0.0,2.0,male,18.0,0.0,0.0,S.O.C. 14879,73.5,,S
0.0,3.0,male,33.0,0.0,0.0,349239,8.6625,,C
1.0,1.0,female,53.0,2.0,0.0,11769,51.4792,C101,S
0.0,3.0,male,44.0,0.0,0.0,363592,8.05,,S
0.0,3.0,female,26.0,0.0,2.0,SOTON/O.Q. 3101315,13.775,,S
1.0,2.0,female,19.0,0.0,0.0,250655,26.0,,S
0.0,3.0,male,,0.0,0.0,372622,7.75,,Q
1.0,1.0,female,30.0,0.0,0.0,113798,31.0,,C
0.0,1.0,male,21.0,0.0,1.0,35281,77.2875,D26,S
1.0,2.0,male,0.8333,1.0,1.0,29106,18.75,,S
0.0,3.0,female,40.0,1.0,0.0,7546,9.475,,S
1.0,3.0,female,36.0,0.0,2.0,C.A. 37671,15.9,,S
0.0,3.0,male,32.0,0.0,0.0,8471,8.3625,,S
0.0,3.0,male,,0.0,0.0,1222,7.8792,,S
0.0,3.0,male,11.0,5.0,2.0,CA 2144,46.9,,S
0.0,3.0,female,1.0,1.0,1.0,350405,12.1833,,S
1.0,3.0,male,27.0,0.0,0.0,315098,8.6625,,S
1.0,3.0,female,23.0,0.0,0.0,347469,7.8542,,S
1.0,1.0,male,45.0,0.0,0.0,111428,26.55,,S
0.0,2.0,male,30.0,1.0,0.0,CA 31352,21.0,,S
0.0,3.0,female,27.0,0.0,0.0,330844,7.8792,,Q
0.0,3.0,male,42.0,0.0,1.0,4579,8.4042,,S
0.0,3.0,female,,0.0,0.0,365237,7.75,,Q
0.0,2.0,male,38.0,1.0,0.0,28664,21.0,,S
0.0,1.0,male,50.0,0.0,0.0,113044,26.0,E60,S
0.0,3.0,male,,0.0,0.0,A.5. 3236,8.05,,S
0.0,2.0,male,36.0,0.0,0.0,SC/Paris 2163,12.875,D,C
1.0,3.0,male,14.0,0.0,0.0,7538,9.225,,S
0.0,3.0,male,2.0,3.0,1.0,349909,21.075,,S
1.0,2.0,female,3.0,1.0,2.0,SC/Paris 2123,41.5792,,C
1.0,2.0,male,,0.0,0.0,SC/PARIS 2146,13.8625,,C
0.0,3.0,male,24.0,0.0,0.0,7266,9.325,,S
1.0,1.0,male,48.0,1.0,0.0,19996,52.0,C126,S
0.0,3.0,male,40.0,1.0,1.0,364849,15.5,,Q
0.0,3.0,male,4.0,4.0,2.0,347082,31.275,,S
0.0,3.0,female,,8.0,2.0,CA. 2343,69.55,,S
0.0,3.0,male,,2.0,0.0,2662,21.6792,,C
0.0,3.0,male,26.0,0.0,0.0,330910,7.8792,,Q
1.0,3.0,female,15.0,1.0,0.0,2659,14.4542,,C
0.0,3.0,male,17.0,2.0,0.0,A/4 48873,8.05,,S
1.0,2.0,male,2.0,1.0,1.0,29103,23.0,,S
0.0,1.0,male,19.0,1.0,0.0,113773,53.1,D30,S
0.0,2.0,male,21.0,1.0,0.0,28133,11.5,,S
1.0,3.0,female,,0.0,2.0,2668,22.3583,,C
0.0,2.0,male,59.0,0.0,0.0,237442,13.5,,S
0.0,3.0,male,,3.0,1.0,4133,25.4667,,S
1.0,1.0,female,25.0,1.0,0.0,11765,55.4417,E50,C
0.0,1.0,male,29.0,0.0,0.0,113501,30.0,D6,S
1.0,3.0,female,18.0,0.0,0.0,4138,9.8417,,S
1.0,3.0,female,,0.0,0.0,2626,7.2292,,C
0.0,1.0,male,,0.0,0.0,112379,39.6,,C
1.0,2.0,male,0.8333,0.0,2.0,248738,29.0,,S
1.0,2.0,female,31.0,1.0,1.0,C.A. 31921,26.25,,S
1.0,1.0,female,38.0,0.0,0.0,PC 17757,227.525,C45,C
0.0,2.0,male,28.0,0.0,0.0,248740,13.0,,S
0.0,2.0,male,29.0,1.0,0.0,11668,21.0,,S
0.0,3.0,male,26.0,0.0,0.0,347075,7.775,,S
1.0,3.0,female,5.0,4.0,2.0,347077,31.3875,,S
1.0,1.0,female,17.0,1.0,0.0,17474,57.0,B20,S
0.0,3.0,male,,0.0,0.0,349222,7.8958,,S
0.0,3.0,male,6.0,1.0,1.0,2678,15.2458,,C
0.0,3.0,male,9.0,5.0,2.0,CA 2144,46.9,,S
0.0,1.0,male,,0.0,0.0,PC 17605,27.7208,,C
1.0,2.0,female,48.0,0.0,2.0,C.A. 33112,36.75,,S
1.0,3.0,male,,0.0,0.0,1601,56.4958,,S
1.0,3.0,male,25.0,1.0,0.0,347083,7.775,,S
0.0,3.0,male,,1.0,0.0,370371,15.5,,Q
1.0,1.0,female,48.0,1.0,0.0,11755,39.6,A16,C
0.0,3.0,male,59.0,0.0,0.0,364500,7.25,,S
0.0,3.0,male,16.0,1.0,1.0,C.A. 2673,20.25,,S
0.0,3.0,female,,8.0,2.0,CA. 2343,69.55,,S
